frame_num,x,y,z
0,9.342772e+00,-8.525108e+00,2.274366e+00
1,9.250359e+00,-8.207784e+00,2.344295e+00
2,9.219283e+00,-7.984029e+00,2.404215e+00
3,9.185922e+00,-7.775240e+00,2.492732e+00
4,9.090561e+00,-7.526404e+00,2.574026e+00
5,9.080470e+00,-7.315645e+00,2.624267e+00
6,9.029602e+00,-7.106489e+00,2.693979e+00
7,9.009952e+00,-6.883704e+00,2.735732e+00
8,8.827947e+00,-6.528931e+00,2.822814e+00
9,8.777295e+00,-6.286481e+00,2.870445e+00
10,8.709089e+00,-6.085673e+00,2.913542e+00
11,8.753062e+00,-6.034562e+00,2.951871e+00
12,8.732526e+00,-5.854335e+00,3.000869e+00
13,8.667004e+00,-5.669584e+00,3.058670e+00
14,8.635387e+00,-5.492457e+00,3.087036e+00
15,8.534985e+00,-5.299833e+00,3.113795e+00
16,8.479569e+00,-5.063359e+00,3.159996e+00
17,8.433114e+00,-4.886083e+00,3.195478e+00
18,8.418059e+00,-4.756810e+00,3.217271e+00
19,8.331892e+00,-4.544705e+00,3.258375e+00
20,8.253103e+00,-4.353340e+00,3.284582e+00
21,8.203119e+00,-4.140858e+00,3.305976e+00
22,8.177174e+00,-4.027613e+00,3.304714e+00
23,8.080549e+00,-3.811152e+00,3.330705e+00
24,8.031136e+00,-3.635507e+00,3.339039e+00
25,7.952107e+00,-3.463107e+00,3.344433e+00
26,7.863932e+00,-3.279274e+00,3.357720e+00
27,7.817086e+00,-3.077626e+00,3.377408e+00
28,7.712649e+00,-2.917461e+00,3.374862e+00
29,7.714727e+00,-2.786623e+00,3.393529e+00
30,7.647480e+00,-2.626705e+00,3.398306e+00
31,7.546867e+00,-2.474851e+00,3.395567e+00
32,7.490757e+00,-2.319213e+00,3.403252e+00
33,7.475960e+00,-2.146104e+00,3.384110e+00
34,7.397343e+00,-2.022265e+00,3.380792e+00
35,7.306684e+00,-1.837172e+00,3.381627e+00
36,7.168288e+00,-1.602958e+00,3.379844e+00
37,7.202435e+00,-1.555664e+00,3.366699e+00
38,7.125561e+00,-1.388700e+00,3.375314e+00
39,7.101837e+00,-1.264426e+00,3.352667e+00
40,7.041255e+00,-1.134326e+00,3.317080e+00
41,6.974118e+00,-9.909076e-01,3.319496e+00
42,6.921829e+00,-8.320758e-01,3.291874e+00
43,6.884256e+00,-7.147919e-01,3.277412e+00
44,6.763487e+00,-5.595853e-01,3.261108e+00
45,6.727187e+00,-4.389377e-01,3.222235e+00
46,6.680015e+00,-2.878684e-01,3.200589e+00
47,6.601723e+00,-1.255960e-01,3.184609e+00
48,6.563483e+00,-6.357558e-02,3.153693e+00
49,6.508690e+00,8.432168e-02,3.113079e+00
50,6.460397e+00,1.985245e-01,3.064929e+00
51,6.385708e+00,3.286383e-01,3.044726e+00
52,6.329705e+00,4.587047e-01,3.008067e+00
53,6.291971e+00,5.876271e-01,2.963505e+00
54,6.245299e+00,7.072116e-01,2.915105e+00
55,6.185941e+00,8.163092e-01,2.872940e+00
56,6.141673e+00,9.423725e-01,2.839638e+00
57,6.121856e+00,1.051210e+00,2.759563e+00
58,6.039161e+00,1.203099e+00,2.724658e+00
59,5.988954e+00,1.304201e+00,2.677319e+00
60,5.974910e+00,1.423645e+00,2.616484e+00
61,5.917743e+00,1.520425e+00,2.155100e+00
62,5.870494e+00,1.693154e+00,2.480744e+00
63,5.808286e+00,1.805968e+00,2.424439e+00
64,5.788754e+00,1.924811e+00,2.365587e+00
65,5.765893e+00,2.020237e+00,2.291321e+00
66,5.719963e+00,2.155130e+00,2.224388e+00
67,5.683730e+00,2.297571e+00,2.117947e+00
68,5.634572e+00,2.434994e+00,2.034974e+00
69,5.657218e+00,2.515911e+00,1.950758e+00
70,5.588495e+00,2.675699e+00,1.842398e+00
71,5.552877e+00,2.814408e+00,1.764913e+00
72,5.534468e+00,2.940468e+00,1.644888e+00
73,5.516426e+00,3.074944e+00,1.539726e+00
74,5.470289e+00,3.220906e+00,1.413055e+00
75,5.418679e+00,3.391558e+00,1.286622e+00
76,5.425763e+00,3.497449e+00,1.163570e+00
77,5.428189e+00,3.649365e+00,1.023553e+00
78,5.417894e+00,3.773432e+00,9.073562e-01
79,5.408629e+00,3.947836e+00,7.521118e-01
80,5.395663e+00,4.078315e+00,6.182191e-01
81,5.385108e+00,4.220843e+00,4.831819e-01
82,5.305279e+00,4.212546e+00,5.486846e-01
83,5.283931e+00,4.112420e+00,6.656431e-01
84,5.261050e+00,4.030116e+00,8.059904e-01
85,5.296220e+00,3.892545e+00,8.903401e-01
